customer_id,boxes_taken,activation_channel,state,score_count,score_freq,app_uses,app_store
1,65,F,C,55,0,25,app2
2,20,C,N,45,0,105,app2
3,80,A,N,60,0,35,app2
4,120,A,L,60,0,20,app2
5,45,C,L,50,0,45,app2
6,15,C,C,60,0,5,app2
7,40,C,L,80,0,10,app2
8,55,A,C,45,0.666666667,0,
9,50,D,N,55,0,15,app2
10,30,C,C,45,0,20,app2
11,45,C,C,60,0,35,app2
12,115,F,C,45,0.333333333,10,app2
13,15,C,L,60,0,15,app2
14,35,B,W,60,0.333333333,0,
15,35,C,C,60,0.166666667,90,app2
16,240,B,L,45,0.222222222,30,app2
17,25,C,L,50,0,30,app2
18,240,G,C,75,0,0,
19,15,B,W,75,0,5,app1
20,160,G,N,45,0,10,app2
21,45,C,S,75,0.333333333,15,app2
22,15,N/A,N,65,0.923076923,25,app2
23,35,N/A,L,45,0.444444444,20,app1
24,25,C,L,75,0,0,
25,115,C,W,75,0,25,app2
26,195,D,N,45,0.333333333,25,app2
27,105,B,C,45,0.333333333,65,app2
28,160,C,N,45,0.666666667,0,
29,25,B,L,70,0,50,app2
30,165,C,W,75,0,15,app1
31,85,C,N,75,0,5,app2
32,15,A,L,60,0,0,
33,225,F,S,45,0,35,app1
34,165,F,N,60,0,20,app2
35,20,C,L,45,0.333333333,15,app2
36,15,B,S,45,0.222222222,45,app2
37,20,C,S,60,0,25,app2
38,30,C,A,70,0,35,app2
39,50,C,N,65,0,30,app2
40,75,E,N,75,0,20,app2
41,175,F,L,45,0,85,app2
42,25,C,S,45,0.333333333,40,app2
43,15,C,W,60,0,20,app1
44,75,G,W,75,0.066666667,0,
45,20,C,C,45,0,5,app2
46,100,F,C,45,0,45,app1
47,165,E,N,60,0.916666667,20,app2
48,120,C,N,55,0.272727273,25,app2
49,15,A,L,75,0,25,app2
50,45,C,N,75,0,25,app2
51,15,E,N,75,0,0,
52,30,C,C,45,0,0,
53,130,C,L,65,0.384615385,30,app2
54,20,C,W,45,0,65,app2
55,80,C,C,60,0,25,app2
56,15,C,N,45,0,0,
57,80,D,N,45,0.555555556,20,app2
58,145,F,N,45,0.333333333,0,
59,50,C,C,75,0,30,app2
60,180,F,N,75,0.8,25,app2
61,55,C,C,75,0,60,app1
62,165,C,A,60,0,20,app2
63,85,D,W,45,0,25,app2
64,15,C,L,75,0,85,app2
65,130,A,N,60,0,40,app2
66,30,G,N,45,0,0,
67,150,A,N,45,0,0,
68,135,D,W,45,0.222222222,10,app2
69,160,C,N,N/A,0,15,app2
70,20,A,C,75,0.2,60,app2
71,220,A,L,75,0.333333333,170,app2
72,65,B,A,45,0.333333333,30,app2
73,115,C,A,60,0,20,app2
74,85,C,N,50,0.1,20,app2
75,260,G,N,45,0,0,app2
76,90,F,N,60,0.333333333,45,app2
77,50,A,C,N/A,0,30,app2
78,85,C,C,50,0.3,50,app2
79,85,C,N,50,0,5,app2
80,85,B,C,45,0.333333333,5,app2
81,45,C,C,45,0.222222222,0,
82,25,N/A,S,55,0,70,app2
83,15,C,L,75,0,0,
84,135,C,W,75,0,40,app2
85,160,F,N,60,0,20,app2
86,70,C,N,60,0,35,app2
87,80,F,L,75,0,100,app2
88,30,C,A,45,0,45,app2
89,20,C,N,45,0,20,app1
90,15,C,N,45,0,0,
91,20,D,A,45,0,40,app1
92,40,F,N,45,0,50,app2
93,95,F,L,60,0.083333333,20,app2
94,170,A,N,45,0,45,app2
95,15,C,W,50,0,40,app2
96,55,D,N,45,0,0,
97,150,C,C,50,0.3,20,app1
98,15,C,L,65,0,5,app1
99,195,B,C,45,0.222222222,30,app2
100,45,N/A,W,45,0.333333333,25,app2
101,75,B,L,45,0,20,app2
102,30,C,S,75,0,0,
103,25,C,L,70,0.285714286,45,app2
104,35,C,C,75,0.333333333,0,
105,225,C,C,45,0,10,app1
106,80,E,C,75,0,20,app2
107,260,A,N,60,0,0,
108,75,A,C,45,0,20,app2
109,70,A,L,75,0,110,app1
110,120,F,W,60,0,20,app2
