country,customer_id,boxes_taken,activation_channel,state,recipe_score_count,recipe_score_freq,app_uses,app_store
AU,1,65,F,C,55,0,25,itunes
AU,2,20,C,N,45,0,105,itunes
AU,3,80,A,N,60,0,35,itunes
AU,4,120,A,L,60,0,20,itunes
AU,5,45,C,L,50,0,45,itunes
AU,6,15,C,C,60,0,5,itunes
AU,7,40,C,L,80,0,10,itunes
AU,8,55,A,C,45,0.666666667,0,
AU,9,50,D,N,55,0,15,itunes
AU,10,30,C,C,45,0,20,itunes
AU,11,45,C,C,60,0,35,itunes
AU,12,115,F,C,45,0.333333333,10,itunes
AU,13,15,C,L,60,0,15,itunes
AU,14,35,B,W,60,0.333333333,0,
AU,15,35,C,C,60,0.166666667,90,itunes
AU,16,240,B,L,45,0.222222222,30,itunes
AU,17,25,C,L,50,0,30,itunes
AU,18,240,G,C,75,0,0,
AU,19,15,B,W,75,0,5,google
AU,20,160,G,N,45,0,10,itunes
AU,21,45,C,S,75,0.333333333,15,itunes
AU,22,15,N/A,N,65,0.923076923,25,itunes
AU,23,35,N/A,L,45,0.444444444,20,google
AU,24,25,C,L,75,0,0,
AU,25,115,C,W,75,0,25,itunes
AU,26,195,D,N,45,0.333333333,25,itunes
AU,27,105,B,C,45,0.333333333,65,itunes
AU,28,160,C,N,45,0.666666667,0,
AU,29,25,B,L,70,0,50,itunes
AU,30,165,C,W,75,0,15,google
AU,31,85,C,N,75,0,5,itunes
AU,32,15,A,L,60,0,0,
AU,33,225,F,S,45,0,35,google
AU,34,165,F,N,60,0,20,itunes
AU,35,20,C,L,45,0.333333333,15,itunes
AU,36,15,B,S,45,0.222222222,45,itunes
AU,37,20,C,S,60,0,25,itunes
AU,38,30,C,A,70,0,35,itunes
AU,39,50,C,N,65,0,30,itunes
AU,40,75,E,N,75,0,20,itunes
AU,41,175,F,L,45,0,85,itunes
AU,42,25,C,S,45,0.333333333,40,itunes
AU,43,15,C,W,60,0,20,google
AU,44,75,G,W,75,0.066666667,0,
AU,45,20,C,C,45,0,5,itunes
AU,46,100,F,C,45,0,45,google
AU,47,165,E,N,60,0.916666667,20,itunes
AU,48,120,C,N,55,0.272727273,25,itunes
AU,49,15,A,L,75,0,25,itunes
AU,50,45,C,N,75,0,25,itunes
AU,51,15,E,N,75,0,0,
AU,52,30,C,C,45,0,0,
AU,53,130,C,L,65,0.384615385,30,itunes
AU,54,20,C,W,45,0,65,itunes
AU,55,80,C,C,60,0,25,itunes
AU,56,15,C,N,45,0,0,
AU,57,80,D,N,45,0.555555556,20,itunes
AU,58,145,F,N,45,0.333333333,0,
AU,59,50,C,C,75,0,30,itunes
AU,60,180,F,N,75,0.8,25,itunes
AU,61,55,C,C,75,0,60,google
AU,62,165,C,A,60,0,20,itunes
AU,63,85,D,W,45,0,25,itunes
AU,64,15,C,L,75,0,85,itunes
AU,65,130,A,N,60,0,40,itunes
AU,66,30,G,N,45,0,0,
AU,67,150,A,N,45,0,0,
AU,68,135,D,W,45,0.222222222,10,itunes
AU,69,160,C,N,N/A,0,15,itunes
AU,70,20,A,C,75,0.2,60,itunes
AU,71,220,A,L,75,0.333333333,170,itunes
AU,72,65,B,A,45,0.333333333,30,itunes
AU,73,115,C,A,60,0,20,itunes
AU,74,85,C,N,50,0.1,20,itunes
AU,75,260,G,N,45,0,0,itunes
AU,76,90,F,N,60,0.333333333,45,itunes
AU,77,50,A,C,N/A,0,30,itunes
AU,78,85,C,C,50,0.3,50,itunes
AU,79,85,C,N,50,0,5,itunes
AU,80,85,B,C,45,0.333333333,5,itunes
AU,81,45,C,C,45,0.222222222,0,
AU,82,25,N/A,S,55,0,70,itunes
AU,83,15,C,L,75,0,0,
AU,84,135,C,W,75,0,40,itunes
AU,85,160,F,N,60,0,20,itunes
AU,86,70,C,N,60,0,35,itunes
AU,87,80,F,L,75,0,100,itunes
AU,88,30,C,A,45,0,45,itunes
AU,89,20,C,N,45,0,20,google
AU,90,15,C,N,45,0,0,
AU,91,20,D,A,45,0,40,google
AU,92,40,F,N,45,0,50,itunes
AU,93,95,F,L,60,0.083333333,20,itunes
AU,94,170,A,N,45,0,45,itunes
AU,95,15,C,W,50,0,40,itunes
AU,96,55,D,N,45,0,0,
AU,97,150,C,C,50,0.3,20,google
AU,98,15,C,L,65,0,5,google
AU,99,195,B,C,45,0.222222222,30,itunes
AU,100,45,N/A,W,45,0.333333333,25,itunes
AU,101,75,B,L,45,0,20,itunes
AU,102,30,C,S,75,0,0,
AU,103,25,C,L,70,0.285714286,45,itunes
AU,104,35,C,C,75,0.333333333,0,
AU,105,225,C,C,45,0,10,google
AU,106,80,E,C,75,0,20,itunes
AU,107,260,A,N,60,0,0,
AU,108,75,A,C,45,0,20,itunes
AU,109,70,A,L,75,0,110,google
AU,110,120,F,W,60,0,20,itunes
AU,111,25,A,N,45,0,45,itunes
AU,112,50,A,C,65,0,20,itunes
AU,113,60,F,N,60,0,35,google
AU,114,40,B,W,65,0,45,itunes
AU,115,15,A,N,75,0,0,
AU,116,20,C,N,45,0,0,itunes
AU,117,15,B,C,60,0.166666667,30,itunes
AU,118,40,A,W,45,0,35,google
AU,119,130,C,N,60,0,20,itunes
AU,120,20,A,L,65,0,25,itunes
AU,121,20,C,N,45,0,15,itunes
AU,122,30,F,S,45,0.333333333,0,
AU,123,25,C,C,50,0,35,itunes
AU,124,115,F,N,60,0,0,
AU,125,20,C,S,45,0,40,google
AU,126,15,A,C,45,0,10,google
AU,127,15,D,C,45,0,0,
AU,128,25,C,L,60,0.333333333,20,itunes
AU,129,95,C,L,60,0.333333333,20,itunes
AU,130,15,C,W,45,0,0,
AU,131,15,C,L,75,0,5,itunes
AU,132,40,F,C,60,0,20,itunes
AU,133,150,C,W,65,0,40,itunes
AU,134,70,C,N,45,0.111111111,40,itunes
AU,135,20,C,L,45,0,25,itunes
AU,136,20,C,C,45,0.111111111,30,itunes
AU,137,225,C,S,75,0,30,itunes
AU,138,45,D,N,45,0,110,itunes
AU,139,15,B,N,45,0,15,itunes
AU,140,55,C,C,45,0,25,itunes
AU,141,25,C,L,75,0.2,40,itunes
AU,142,30,D,N,45,0,25,itunes
AU,143,65,B,S,45,0.555555556,15,itunes
AU,144,205,F,N,45,0,0,itunes
AU,145,65,F,C,60,0,25,itunes
AU,146,15,C,C,60,0,30,google
AU,147,125,A,C,75,0,45,itunes
AU,148,30,G,L,45,0,25,itunes
AU,149,150,C,L,60,0,30,itunes
AU,150,30,C,S,75,0,40,itunes
AU,151,25,N/A,N,45,0.222222222,60,itunes
AU,152,20,C,W,75,0,30,google
AU,153,105,C,A,60,0.333333333,0,google
AU,154,15,B,L,60,0,70,itunes
AU,155,205,G,C,45,0.444444444,0,google
AU,156,70,B,L,70,0,20,google
AU,157,85,F,C,45,0,20,itunes
AU,158,235,F,N,45,0,260,google
AU,159,30,F,C,60,0.083333333,20,google
AU,160,15,G,N,60,0,15,itunes
AU,161,245,F,L,75,0,0,itunes
AU,162,45,F,W,75,0,20,itunes
AU,163,70,N/A,L,45,0.222222222,25,itunes
AU,164,30,A,N,45,0,25,itunes
AU,165,110,C,L,60,0.416666667,20,itunes
AU,166,90,B,N,45,0,45,itunes
AU,167,90,F,L,55,0,15,itunes
AU,168,85,F,N,45,0,20,itunes
AU,169,25,A,L,60,0,40,itunes
AU,170,75,F,C,75,1,30,itunes
AU,171,45,B,L,45,0,35,itunes
AU,172,135,B,N,N/A,0,25,itunes
AU,173,60,E,A,45,0,20,itunes
AU,174,105,A,L,45,0.666666667,0,
AU,175,20,F,W,45,0,5,itunes
AU,176,80,F,C,45,0,85,itunes
AU,177,55,C,N,75,0.4,20,google
AU,178,50,B,N,50,0,25,google
AU,179,60,D,N,45,0,25,itunes
AU,180,15,C,C,65,0,20,itunes
AU,181,85,F,C,45,0.333333333,15,google
AU,182,25,C,C,45,0,0,
AU,183,15,A,N,55,0,25,itunes
AU,184,40,A,L,60,0.083333333,40,itunes
AU,185,195,B,N,45,0,20,itunes
AU,186,20,F,N,45,0,0,
AU,187,230,F,N,45,0,10,itunes
AU,188,25,F,C,45,0,65,itunes
AU,189,15,C,C,45,0.333333333,15,itunes
AU,190,15,A,C,60,0,20,itunes
AU,191,20,C,L,45,0,55,google
AU,192,25,F,C,45,0,35,google
AU,193,120,F,C,60,0,0,itunes
AU,194,45,F,A,60,0,0,google
AU,195,240,C,L,55,0.272727273,40,google
AU,196,105,A,L,75,0,10,itunes
AU,197,35,C,N,60,0,15,itunes
AU,198,25,E,L,45,0,5,itunes
AU,199,100,A,C,75,0.266666667,30,itunes
AU,200,30,B,C,75,0,30,google
AU,201,15,C,L,55,0,25,itunes
AU,202,20,G,C,75,0,60,itunes
AU,203,25,C,C,60,0,30,itunes
AU,204,90,B,N,45,0,30,itunes
AU,205,45,C,N,45,0,60,google
AU,206,125,C,N,55,0,15,itunes
AU,207,100,C,C,45,0,0,
AU,208,90,C,W,75,0,30,itunes
AU,209,20,A,W,45,0,35,itunes
AU,210,15,C,N,55,0,0,
AU,211,40,C,W,75,0,15,itunes
AU,212,145,B,N,60,0.083333333,20,itunes
AU,213,25,C,N,45,0,20,itunes
AU,214,30,A,C,N/A,0.230769231,40,itunes
AU,215,25,B,L,45,0.333333333,50,itunes
AU,216,20,C,S,45,0,20,google
AU,217,25,A,C,45,0.111111111,25,itunes
AU,218,85,E,C,45,0,0,
AU,219,25,E,N,45,0,0,
AU,220,20,N/A,N,45,0,20,itunes
AU,221,30,B,N,45,0,30,google
AU,222,15,C,C,75,0,5,itunes
AU,223,45,F,N,55,0,65,itunes
AU,224,25,F,N,45,0,0,
AU,225,65,A,L,60,0,0,itunes
AU,226,210,F,L,45,1,15,itunes
AU,227,15,C,L,45,0,10,google
AU,228,215,G,N,45,0,45,itunes
AU,229,230,B,C,75,0,5,itunes
AU,230,120,F,C,55,0,25,itunes
AU,231,15,C,W,75,0,0,
AU,232,80,D,C,60,0,35,itunes
AU,233,70,C,N,75,0,20,itunes
AU,234,145,C,C,55,0.272727273,30,itunes
AU,235,160,C,C,50,0,35,itunes
AU,236,65,B,L,45,0,0,itunes
AU,237,50,E,N,65,0,0,
AU,238,20,C,N,65,0,35,itunes
AU,239,40,C,C,45,0,20,itunes
AU,240,50,B,L,45,0.333333333,30,itunes
AU,241,45,E,S,60,0.666666667,20,itunes
AU,242,20,C,W,45,0,40,google
AU,243,30,C,L,75,0,25,itunes
AU,244,15,A,C,45,0,45,itunes
AU,245,20,C,N,50,0,35,google
AU,246,30,D,N,45,0,5,google
AU,247,50,F,C,45,0,10,itunes
AU,248,30,A,L,45,0,25,google
AU,249,20,A,N,45,0,30,itunes
AU,250,55,C,L,45,0,0,
AU,251,20,C,L,55,0,10,google
AU,252,40,D,N,45,0,15,itunes
AU,253,20,C,C,45,0,0,
AU,254,15,F,C,45,0,0,
AU,255,20,F,N,45,0,55,itunes
AU,256,20,A,C,60,0.333333333,20,itunes
AU,257,245,C,N,65,0,25,itunes
AU,258,125,C,N,75,0,50,itunes
AU,259,100,C,A,45,0,15,google
AU,260,55,C,L,60,0,15,itunes
AU,261,45,C,N,45,0,30,google
AU,262,15,A,N,75,0,15,google
AU,263,60,E,N,60,0,75,itunes
AU,264,265,B,C,45,0,20,itunes
AU,265,125,A,N,55,0.454545455,45,itunes
AU,266,25,G,C,60,0,45,itunes
AU,267,25,G,C,45,0,30,itunes
AU,268,30,A,T,75,0,25,itunes
AU,269,35,A,C,75,0,5,itunes
AU,270,40,B,L,70,0,50,itunes
AU,271,60,C,L,75,0.533333333,20,itunes
AU,272,35,C,L,75,0.333333333,30,itunes
AU,273,75,A,L,75,0.266666667,25,itunes
AU,274,235,C,C,55,0,0,itunes
AU,275,235,A,L,75,0,25,itunes
